AÑO,METAL,UDM,ETAPA,PROCESO,ESTRATO,TITULAR,UNIDAD,REGIÓN,PROVINCIA,DISTRITO,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,PORACOTA,Arequipa,Condesuyos,Salamanca,119745.3729,74039.41032,158291.7353,106992.5584,54807.894,32677.0521,52465.99024,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,ANTAPITE,Huancavelica,Huaytara,Ocoyo,62014.13161,42061.48024,21796.73984,19462.19979,23354.53006,14523.67018,17940.62982,28665.47014,0,0,0,16674.19978
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,BREAPAMPA,Ayacucho,Parinacochas,Chumpi,0,0,0,0,0,0,0,0,0,0,0,184187.0022
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CARAVELI,Arequipa,Caraveli,Caraveli,13782.30546,0,14725.26,0,0,13022.42632,0,0,12237.46735,0,0,10459.0604
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,JULCANI,Huancavelica,Angaraes,Ccochaccasa,3667.8147,2372.0047,1871.899,1315.4549,1096.6796,1016.2528,826.8052,912.4236,977.365,0,0,0
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,MALLAY,Lima,Oyon,Oyon,0,0,0,0,0,0,0,0,0,468.4872,0,576.0124
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CARAVELI,Arequipa,Caraveli,Caraveli,0.0508,0,0.08806,0,0,0.06885,0,0,0.02574,0,0,0.0253
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA ANTAPACCAY S.A.,TINTAYA,Cusco,Espinar,Espinar,50843.43,46719.855,39396.66,36006.88,37138.42,26937.36,23868,42843.525,58137.6,40598.95,42950,58647.6
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,COMPAÑIA MINERA ANTAPACCAY S.A.,TINTAYA,Cusco,Espinar,Espinar,0,0,20226.73497,0,0,14756.95872,0,2918.937,5705.8675,0,0,11627.8096
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY 1,Cusco,Espinar,Espinar,0,0,0,0,0,0,0,0,0,0,10042.1,25748.1
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA ARES S.A.C.,ARES,Arequipa,Castilla,Orcopampa,87040,66514.2,55284.8,49453.2,56045,78848.5,70104.6,82156.8,71345.6,74296,66015,60849.4
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA ARES S.A.C.,ACUMULACION ARCATA,Arequipa,Condesuyos,Cayarani,42121.2,46022.04,50763.0205,47580.2352,48501.56,47767.8546,47684.7,45605.1015,38850.56,46252.92,46921.62,61691.98
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA ATACOCHA S.A.A.,ATACOCHA,Pasco,Pasco,San Francisco De Asis De Yarusyacan,12302.6432,12338.88795,12584.72763,13848.51427,12261.13602,14717.54016,13350.58456,9998.24326,9863.80106,10813.02326,9764.47426,9380.04635
2012,Oro,g FINOS,Concentración,Lixiviación,Pequeño Productor Minero,COMPAÑIA MINERA AURIFERA AUREX S.A.,ANDES,Pasco,Pasco,Simon Bolivar,7089.993202,6563.991477,7745.991412,6879.992119,5859.991732,7654.9106,6581.168,7703.08,4729.996438,3336.99462,4375.99248,4205.99375
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA AURIFERA SANTA ROSA S.A.,SANTA ROSA-COMARSA,La Libertad,Santiago De Chuco,Angasmarca,486793.0006,233122.3054,412681.5597,408918.376,464962.0304,411059.6789,372838.7693,366016.2055,384327.308,540616.514,421544.2135,491247.4188
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA CARAVELI S.A.C.,CAPITANA,Arequipa,Caraveli,Huanuhuanu,60854.06732,95295.18023,69163.24771,84096.78688,67251.48375,49454.6592,85924.19976,95495.10597,95548.4624,94239.9696,89907.23016,98761.23656
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA CARAVELI S.A.C.,TAMBOJASA,Arequipa,Caraveli,Chaparra,7201.65854,5076.559975,9882.68723,9370.182918,10680.77021,5181.9232,9321.40314,7235.85519,10744.17555,12018.412,14377.36212,11711.39025
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA CAUDALOSA S.A.,AREQUIPA-M,ÁNCASH,Carhuaz,San Miguel De Aco,5932.414,3490.43277,1034.95572,0,2968.0848,5333.0193,6338.469,3599.3178,0,0,0,1681.6068
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA COIMOLACHE S.A.,ACUMULACION TANTAHUATAY,Cajamarca,San Miguel,Catilluc,0,0,328999.9849,373000.0098,420000.0053,423999.9849,441000.0135,409999.9787,367000.0122,396999.9932,328000.0082,311000.004
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA COIMOLACHE S.A.,COIMOLACHE Nº 2,Cajamarca,Hualgayoc,Chugur,241999.9982,288000.0049,0,0,0,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA CONDESTABLE S.A.,ACUMULACION CONDESTABLE,Lima,Cañete,Coayllo,30557.85,28483.65,31983.28,31752.47082,36567.56056,32371.66035,32200.66475,30170.38837,32951.71,30960.63,32368.41,36968.82
2012,Oro,g FINOS,Concentración,Flotación,Pequeño Productor Minero,COMPAÑIA MINERA MAXPALA S.A.C.,MINERA CONDOR III,Arequipa,Caylloma,Caylloma,0,0,1621.8301,5529.3454,7546.2345,5309.0062,9749.6058,7188.6734,9669.857,8660.7048,12917.326,7454.2982
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA MILPO S.A.A.,MILPO Nº1,Pasco,Pasco,Yanacancha,20585.26,19021.59,20275.4,18046.95,12655.78,12676.3,15299.13,21796.99,17763.92,17222.67,14013.49,19186.03
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA MINASPAMPA S.A.C.,PATRICK ALMENDRA I,La Libertad,Sanchez Carrion,Sarin,0,0,0,0,0,0,0,0,0,0,0,122635.1065
2012,Oro,g FINOS,Concentración,Lixiviación,Pequeño Productor Minero,COMPAÑIA MINERA NUEVA CALIFORNIA S.A.,NUEVA CALIFORNIA,ÁNCASH,Yungay,Yungay,5230.9285,5125.418359,4899.176625,5174.192595,8455.36584,8701.323155,8910.814208,4276.223607,2689.039825,2469.846376,2268.26212,2214.835952
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,LA PODEROSA DE TRUJILLO,La Libertad,Pataz,Pataz,202595.526,180797.0654,151754.5609,176467.7482,151290.7903,194363.1597,194300.7721,145576.461,174338.0835,168916.7785,97640.2647,161863.3611
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,LIBERTAD,La Libertad,Pataz,Pataz,38258.5446,46576.2277,67796.1584,69106.975,52075.0812,56405.0752,52163.332,66976.1104,51784.2973,63267.0986,80797.2564,40640.7651
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,MARIA ANTONIETA,La Libertad,Pataz,Pataz,18306.41,3812.2684,9182.586,8767.427,3085.6515,14769.207,8465.449,28779.8074,17946.304,22133.955,9194.798,28525.014
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA SEGUNDA,La Libertad,Pataz,Pataz,37120.5225,0,0,37494.741,0,21572.6393,962.682,0,0,465.978,36353.3929,31573.3454
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESTRELLA DOS,La Libertad,Pataz,Huaylillas,12208.5274,0,46879.5956,0,4597.2344,0,9145.4505,0,0,37045.251,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,GALAXIA SEGUNDA,La Libertad,Pataz,Pias,5965.01,0,0,19400.264,0,5445.518,7861.903,0,11051.1856,2329.89,8945.604,14188.001
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESTRELLA,La Libertad,Pataz,Buldibuyo,0,28724.7674,20298.348,0,0,837.772,0,0,24808.784,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA TERCERA,La Libertad,Pataz,Pataz,12958.47,0,0,3751.6165,0,11820.204,11435.796,0,8666.828,8492.228,210.066,10340.554
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,GALAXIA PRIMERA,La Libertad,Pataz,Pataz,15632.44,0,4591.293,0,0,5599.044,3811.932,0,7442.6352,15610.2429,4831.518,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,SUYUBAMBA,La Libertad,Pataz,Pias,617.07,497.2524,241.647,1492.328,1009.205,1466.101,8899.436,1149.078,3525.104,5251.824,26258.25,5050.038
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESTRELLA TRES,La Libertad,Pataz,Ongon,0,0,0,0,35524.084,0,0,4449.9567,0,0,13654.29,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,MONTAÑITA UNO,La Libertad,Pataz,Ongon,0,0,0,0,12312.3254,0,0,37506.6009,0,0,76.1328,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA Nº 8,La Libertad,Pataz,Pataz,0,0,0,8580.886,0,8796.606,5134.304,0,0,3028.8531,10713.366,3996.62
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESTRELLA UNO,La Libertad,Pataz,Huaylillas,4949.403,0,6041.185,0,0,0,1925.358,12078.3969,0,8387.5932,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEFENSA,La Libertad,Sanchez Carrion,Sartimbamba,0,17901.0864,7491.057,0,1462.7564,0,0,0,4736.2224,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEMASIA ILUSION,La Libertad,Pataz,Pias,0,0,0,0,0,0,23072.22,0,0,6581.4767,0,0
