Oficina de Control Migratorio,País,Año,Mes,Valor
Aeropuerto Internacional Jorge Chávez,CAMERUN,2019,12,1
Aeropuerto Internacional Jorge Chávez,CHAD,2019,12,0
Aeropuerto Internacional Jorge Chávez,COMORAS (ISL),2019,12,0
Aeropuerto Internacional Jorge Chávez,CONGO,2019,12,4
Aeropuerto Internacional Jorge Chávez,COSTA MARFIL,2019,12,1
Aeropuerto Internacional Jorge Chávez,DEMOC.REP. CONGO (ZAIRE),2019,12,0
Aeropuerto Internacional Jorge Chávez,DJIBOUTI,2019,12,0
Aeropuerto Internacional Jorge Chávez,ERITREA,2019,12,1
Aeropuerto Internacional Jorge Chávez,ETIOPIA,2019,12,2
Aeropuerto Internacional Jorge Chávez,GABON,2019,12,0
Aeropuerto Internacional Jorge Chávez,GAMBIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,GUINEA,2019,12,0
Aeropuerto Internacional Jorge Chávez,GUINEA BISSAU,2019,12,1
Aeropuerto Internacional Jorge Chávez,GUINEA ECUATORIAL,2019,12,1
Aeropuerto Internacional Jorge Chávez,KENIA,2019,12,7
Aeropuerto Internacional Jorge Chávez,LESOTHO,2019,12,0
Aeropuerto Internacional Jorge Chávez,LIBERIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,LIBIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,MADAGASCAR,2019,12,2
Aeropuerto Internacional Jorge Chávez,MALAWI,2019,12,2
Aeropuerto Internacional Jorge Chávez,MALI,2019,12,0
Aeropuerto Internacional Jorge Chávez,MAURICIO,2019,12,2
Aeropuerto Internacional Jorge Chávez,MAURITANIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,MOZAMBIQUE,2019,12,14
Aeropuerto Internacional Jorge Chávez,NAMIBIA,2019,12,1
Aeropuerto Internacional Jorge Chávez,NIGER,2019,12,0
Aeropuerto Internacional Jorge Chávez,NIGERIA,2019,12,6
Aeropuerto Internacional Jorge Chávez,REP.CENTROAFRICANA,2019,12,1
Aeropuerto Internacional Jorge Chávez,RWANDA,2019,12,2
Aeropuerto Internacional Jorge Chávez,SENEGAL,2019,12,2
Aeropuerto Internacional Jorge Chávez,SEYCHELLES,2019,12,0
Aeropuerto Internacional Jorge Chávez,SIERRA LEONA,2019,12,0
Aeropuerto Internacional Jorge Chávez,SOMALIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,STO. TOME Y PRINCIPE,2019,12,0
Aeropuerto Internacional Jorge Chávez,SUDAN,2019,12,2
Aeropuerto Internacional Jorge Chávez,SWAZILANDIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,TANZANIA,2019,12,2
Aeropuerto Internacional Jorge Chávez,TOGO,2019,12,0
Aeropuerto Internacional Jorge Chávez,TUNEZ,2019,12,7
Aeropuerto Internacional Jorge Chávez,UGANDA,2019,12,6
Aeropuerto Internacional Jorge Chávez,ZAMBIA,2019,12,2
Aeropuerto Internacional Jorge Chávez,ZIMBABWE,2019,12,6
Aeropuerto Internacional Jorge Chávez,SUDAFRICA,2019,12,327
Aeropuerto Internacional Jorge Chávez,GHANA,2019,1,3
Aeropuerto Internacional Jorge Chávez,MARRUECOS,2019,1,21
Aeropuerto Internacional Jorge Chávez,EGIPTO,2019,1,26
Aeropuerto Internacional Jorge Chávez,ANGOLA,2019,1,1
Aeropuerto Internacional Jorge Chávez,ARGELIA,2019,1,11
Aeropuerto Internacional Jorge Chávez,BENIN,2019,1,0
Aeropuerto Internacional Jorge Chávez,BOTSWANA,2019,1,1
Aeropuerto Internacional Jorge Chávez,BURKINA FASO,2019,1,1
Aeropuerto Internacional Jorge Chávez,BURUNDI,2019,1,1
Aeropuerto Internacional Jorge Chávez,CABO VERDE,2019,1,1
Aeropuerto Internacional Jorge Chávez,CAMERUN,2019,1,0
Aeropuerto Internacional Jorge Chávez,CHAD,2019,1,0
Aeropuerto Internacional Jorge Chávez,COMORAS (ISL),2019,1,2
Aeropuerto Internacional Jorge Chávez,CONGO,2019,1,0
Aeropuerto Internacional Jorge Chávez,COSTA MARFIL,2019,1,0
Aeropuerto Internacional Jorge Chávez,DEMOC.REP. CONGO (ZAIRE),2019,1,0
Aeropuerto Internacional Jorge Chávez,DJIBOUTI,2019,1,0
Aeropuerto Internacional Jorge Chávez,ERITREA,2019,1,0
Aeropuerto Internacional Jorge Chávez,ETIOPIA,2019,1,13
Aeropuerto Internacional Jorge Chávez,GABON,2019,1,0
Aeropuerto Internacional Jorge Chávez,GAMBIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,GUINEA,2019,1,1
Aeropuerto Internacional Jorge Chávez,GUINEA BISSAU,2019,1,0
Aeropuerto Internacional Jorge Chávez,GUINEA ECUATORIAL,2019,1,0
Aeropuerto Internacional Jorge Chávez,KENIA,2019,1,4
Aeropuerto Internacional Jorge Chávez,LESOTHO,2019,1,1
Aeropuerto Internacional Jorge Chávez,LIBERIA,2019,1,1
Aeropuerto Internacional Jorge Chávez,LIBIA,2019,1,1
Aeropuerto Internacional Jorge Chávez,MADAGASCAR,2019,1,0
Aeropuerto Internacional Jorge Chávez,MALAWI,2019,1,0
Aeropuerto Internacional Jorge Chávez,MALI,2019,1,0
Aeropuerto Internacional Jorge Chávez,MAURICIO,2019,1,6
Aeropuerto Internacional Jorge Chávez,MAURITANIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,MOZAMBIQUE,2019,1,0
Aeropuerto Internacional Jorge Chávez,NAMIBIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,NIGER,2019,1,0
Aeropuerto Internacional Jorge Chávez,NIGERIA,2019,1,5
Aeropuerto Internacional Jorge Chávez,REP.CENTROAFRICANA,2019,1,0
Aeropuerto Internacional Jorge Chávez,RWANDA,2019,1,0
Aeropuerto Internacional Jorge Chávez,SENEGAL,2019,1,0
Aeropuerto Internacional Jorge Chávez,SEYCHELLES,2019,1,0
Aeropuerto Internacional Jorge Chávez,SIERRA LEONA,2019,1,0
Aeropuerto Internacional Jorge Chávez,SOMALIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,STO. TOME Y PRINCIPE,2019,1,0
Aeropuerto Internacional Jorge Chávez,SUDAN,2019,1,0
Aeropuerto Internacional Jorge Chávez,SWAZILANDIA,2019,1,1
Aeropuerto Internacional Jorge Chávez,TANZANIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,TOGO,2019,1,0
Aeropuerto Internacional Jorge Chávez,TUNEZ,2019,1,4
Aeropuerto Internacional Jorge Chávez,UGANDA,2019,1,2
Aeropuerto Internacional Jorge Chávez,ZAMBIA,2019,1,4
Aeropuerto Internacional Jorge Chávez,ZIMBABWE,2019,1,0
Aeropuerto Internacional Jorge Chávez,SUDAFRICA,2019,1,220
Aeropuerto Internacional Jorge Chávez,GHANA,2019,2,6
Aeropuerto Internacional Jorge Chávez,MARRUECOS,2019,2,32
Aeropuerto Internacional Jorge Chávez,EGIPTO,2019,2,25
Aeropuerto Internacional Jorge Chávez,ANGOLA,2019,2,1
Aeropuerto Internacional Jorge Chávez,ARGELIA,2019,2,5
Aeropuerto Internacional Jorge Chávez,BENIN,2019,2,0
Aeropuerto Internacional Jorge Chávez,BOTSWANA,2019,2,0
Aeropuerto Internacional Jorge Chávez,BURKINA FASO,2019,2,1
Aeropuerto Internacional Jorge Chávez,BURUNDI,2019,2,0
Aeropuerto Internacional Jorge Chávez,CABO VERDE,2019,2,0
Aeropuerto Internacional Jorge Chávez,CAMERUN,2019,2,8
Aeropuerto Internacional Jorge Chávez,CHAD,2019,2,0
Aeropuerto Internacional Jorge Chávez,COMORAS (ISL),2019,2,0
Aeropuerto Internacional Jorge Chávez,CONGO,2019,2,1
Aeropuerto Internacional Jorge Chávez,COSTA MARFIL,2019,2,1
Aeropuerto Internacional Jorge Chávez,DEMOC.REP. CONGO (ZAIRE),2019,2,0
Aeropuerto Internacional Jorge Chávez,DJIBOUTI,2019,2,0
Aeropuerto Internacional Jorge Chávez,ERITREA,2019,2,0
Aeropuerto Internacional Jorge Chávez,ETIOPIA,2019,2,1
Aeropuerto Internacional Jorge Chávez,GABON,2019,2,0
Aeropuerto Internacional Jorge Chávez,GAMBIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,GUINEA,2019,2,1
Aeropuerto Internacional Jorge Chávez,GUINEA BISSAU,2019,2,0
Aeropuerto Internacional Jorge Chávez,GUINEA ECUATORIAL,2019,2,0
Aeropuerto Internacional Jorge Chávez,KENIA,2019,2,6
Aeropuerto Internacional Jorge Chávez,LESOTHO,2019,2,0
Aeropuerto Internacional Jorge Chávez,LIBERIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,LIBIA,2019,2,1
Aeropuerto Internacional Jorge Chávez,MADAGASCAR,2019,2,0
Aeropuerto Internacional Jorge Chávez,MALAWI,2019,2,1
Aeropuerto Internacional Jorge Chávez,MALI,2019,2,1
Aeropuerto Internacional Jorge Chávez,MAURICIO,2019,2,8
Aeropuerto Internacional Jorge Chávez,MAURITANIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,MOZAMBIQUE,2019,2,1
Aeropuerto Internacional Jorge Chávez,NAMIBIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,NIGER,2019,2,0
Aeropuerto Internacional Jorge Chávez,NIGERIA,2019,2,4
Aeropuerto Internacional Jorge Chávez,REP.CENTROAFRICANA,2019,2,0
Aeropuerto Internacional Jorge Chávez,RWANDA,2019,2,2
Aeropuerto Internacional Jorge Chávez,SENEGAL,2019,2,1
Aeropuerto Internacional Jorge Chávez,SEYCHELLES,2019,2,0
Aeropuerto Internacional Jorge Chávez,SIERRA LEONA,2019,2,1
Aeropuerto Internacional Jorge Chávez,SOMALIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,STO. TOME Y PRINCIPE,2019,2,0
Aeropuerto Internacional Jorge Chávez,SUDAN,2019,2,0
Aeropuerto Internacional Jorge Chávez,SWAZILANDIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,TANZANIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,TOGO,2019,2,0
Aeropuerto Internacional Jorge Chávez,TUNEZ,2019,2,4
Aeropuerto Internacional Jorge Chávez,UGANDA,2019,2,1
Aeropuerto Internacional Jorge Chávez,ZAMBIA,2019,2,2
Aeropuerto Internacional Jorge Chávez,ZIMBABWE,2019,2,2
Aeropuerto Internacional Jorge Chávez,SUDAFRICA,2019,2,102
Aeropuerto Internacional Jorge Chávez,GHANA,2019,7,3
Aeropuerto Internacional Jorge Chávez,MARRUECOS,2019,7,26
Aeropuerto Internacional Jorge Chávez,EGIPTO,2019,7,11
Aeropuerto Internacional Jorge Chávez,ANGOLA,2019,7,0
Aeropuerto Internacional Jorge Chávez,ARGELIA,2019,7,11
Aeropuerto Internacional Jorge Chávez,BENIN,2019,7,0
Aeropuerto Internacional Jorge Chávez,BOTSWANA,2019,7,3
Aeropuerto Internacional Jorge Chávez,BURKINA FASO,2019,7,1
Aeropuerto Internacional Jorge Chávez,BURUNDI,2019,7,0
Aeropuerto Internacional Jorge Chávez,CABO VERDE,2019,7,2
Aeropuerto Internacional Jorge Chávez,CAMERUN,2019,7,2
Aeropuerto Internacional Jorge Chávez,CHAD,2019,7,1
Aeropuerto Internacional Jorge Chávez,COMORAS (ISL),2019,7,0
Aeropuerto Internacional Jorge Chávez,CONGO,2019,7,0
Aeropuerto Internacional Jorge Chávez,ANDORRA,2019,10,10
Aeropuerto Internacional Jorge Chávez,ANDORRA,2019,9,5
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,4,559
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,8,700
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,12,501
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,1,532
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,2,571
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,7,1016
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,6,471
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,3,564
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,5,622
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,11,564
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,10,733
Aeropuerto Internacional Jorge Chávez,AUSTRIA,2019,9,712
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,4,1218
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,8,1345
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,12,794
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,1,698
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,2,673
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,7,2624
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,6,1272
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,3,735
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,5,1008
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,11,1031
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,10,1372
Aeropuerto Internacional Jorge Chávez,BELGICA,2019,9,1637
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,4,57
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,8,19
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,12,30
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,1,71
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,2,87
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,7,26
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,6,26
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,3,31
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,5,33
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,11,39
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,10,64
Aeropuerto Internacional Jorge Chávez,BELORUSIA,2019,9,38
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,4,9
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,8,4
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,12,7
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,1,5
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,2,8
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,7,4
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,6,5
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,3,11
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,5,4
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,11,12
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,10,5
Aeropuerto Internacional Jorge Chávez,BOSNIA Y HERZEGOVINA,2019,9,6
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,4,206
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,8,85
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,12,77
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,1,83
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,2,76
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,7,70
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,6,116
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,3,127
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,5,106
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,11,163
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,10,202
Aeropuerto Internacional Jorge Chávez,BULGARIA,2019,9,106
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,4,38
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,8,87
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,12,19
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,1,9
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,2,14
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,7,28
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,6,24
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,3,14
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,5,21
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,11,15
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,10,26
Aeropuerto Internacional Jorge Chávez,CHIPRE,2019,9,20
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,4,115
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,8,60
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,12,91
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,1,95
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,2,68
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,7,76
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,6,93
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,3,64
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,5,80
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,11,160
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,10,108
Aeropuerto Internacional Jorge Chávez,CROACIA,2019,9,134
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,4,550
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,8,325
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,12,459
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,1,368
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,2,342
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,7,893
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,6,409
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,3,677
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,5,271
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,11,332
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,10,591
Aeropuerto Internacional Jorge Chávez,DINAMARCA,2019,9,509
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,4,178
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,8,157
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,12,84
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,1,146
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,2,157
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,7,91
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,6,54
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,3,178
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,5,156
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,11,291
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,10,188
Aeropuerto Internacional Jorge Chávez,ESLOVAQUIA,2019,9,169
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,4,126
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,8,52
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,12,47
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,1,65
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,2,47
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,7,165
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,6,138
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,3,42
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,5,35
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,11,153
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,10,122
Aeropuerto Internacional Jorge Chávez,ESLOVENIA,2019,9,102
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,4,11121
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,8,16750
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,12,13545
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,1,10498
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,2,9943
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,7,15780
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,6,12170
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,3,10412
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,5,9989
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,11,12505
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,10,12569
Aeropuerto Internacional Jorge Chávez,ESPAÑA,2019,9,13393
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,4,27
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,8,15
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,12,46
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,1,51
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,2,32
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,7,18
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,6,22
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,3,36
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,5,31
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,11,96
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,10,102
Aeropuerto Internacional Jorge Chávez,ESTONIA,2019,9,36
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,4,7
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,8,6
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,12,15
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,1,8
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,2,9
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,7,3
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,6,8
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,3,9
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,5,7
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,11,11
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,10,6
Aeropuerto Internacional Jorge Chávez,EX R.YUG.MACEDONIA,2019,9,14
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,4,166
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,8,112
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,12,286
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,1,183
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,2,207
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,7,117
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,6,198
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,3,199
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,5,132
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,11,253
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,10,236
Aeropuerto Internacional Jorge Chávez,FINLANDIA,2019,9,120
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,4,8587
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,8,9093
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,12,4568
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,1,4943
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,2,5191
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,7,11085
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,6,5899
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,3,5476
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,5,8216
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,11,6782
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,10,8940
Aeropuerto Internacional Jorge Chávez,FRANCIA,2019,9,8228
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,4,254
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,8,381
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,12,241
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,1,121
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,2,143
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,7,208
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,6,117
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,3,157
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,5,157
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,11,191
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,10,162
Aeropuerto Internacional Jorge Chávez,GRECIA,2019,9,120
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,4,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,8,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,12,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,1,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,2,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,7,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,6,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,3,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,5,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,11,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,10,0
Aeropuerto Internacional Jorge Chávez,GROENLANDIA,2019,9,0
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,4,214
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,8,151
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,12,138
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,1,134
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,2,90
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,7,180
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,6,166
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,3,270
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,5,136
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,11,246
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,10,392
Aeropuerto Internacional Jorge Chávez,HUNGRIA,2019,9,180
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,4,462
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,8,497
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,12,291
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,1,298
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,2,203
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,7,688
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,6,614
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,3,316
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,5,482
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,11,411
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,10,573
Aeropuerto Internacional Jorge Chávez,IRLANDA,2019,9,548
Aeropuerto Internacional Jorge Chávez,ISLANDIA,2019,4,43
