Oficina de Control Migratorio,País,Año,Mes,Valor
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,2,4737
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,7,0
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,6,0
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,3,2179
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,5,0
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,11,402
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,10,241
Aeropuerto Internacional Jorge Chávez,ECUADOR,2020,9,0
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,4,422
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,8,975
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,12,1310
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,1,198
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,2,97
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,7,765
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,6,539
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,3,262
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,5,493
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,11,1777
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,10,1643
Aeropuerto Internacional Jorge Chávez,ECUADOR,2021,9,1388
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,4,1942
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,8,2798
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,12,2361
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,1,1086
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,2,1218
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,7,2285
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,6,1832
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,3,1472
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,5,1851
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,11,3514
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,10,2688
Aeropuerto Internacional Jorge Chávez,ECUADOR,2022,9,2798
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,4,2970
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,8,3328
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,12,2697
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,1,2066
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,2,2390
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,7,3194
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,6,3094
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,3,3081
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,5,2478
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,11,3842
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,10,3900
Aeropuerto Internacional Jorge Chávez,ECUADOR,2023,9,3280
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,4,5270
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,8,5119
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,12,3720
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,1,2375
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,2,2929
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,7,4359
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,6,3626
Aeropuerto Internacional Jorge Chávez,ECUADOR,2024,3,3301
Otras Oficinas Migratorias,TOGO,2021,8,0
Otras Oficinas Migratorias,TUNEZ,2021,8,0
Otras Oficinas Migratorias,UGANDA,2021,8,0
Otras Oficinas Migratorias,ZAMBIA,2021,8,0
Otras Oficinas Migratorias,ZIMBABWE,2021,8,0
Otras Oficinas Migratorias,SUDAFRICA,2021,8,0
Otras Oficinas Migratorias,GHANA,2021,12,0
Otras Oficinas Migratorias,MARRUECOS,2021,12,0
Otras Oficinas Migratorias,EGIPTO,2021,12,0
Otras Oficinas Migratorias,ANGOLA,2021,12,0
Otras Oficinas Migratorias,ARGELIA,2021,12,0
Otras Oficinas Migratorias,BENIN,2021,12,0
Otras Oficinas Migratorias,BOTSWANA,2021,12,0
Otras Oficinas Migratorias,BURKINA FASO,2021,12,0
Otras Oficinas Migratorias,BURUNDI,2021,12,0
Otras Oficinas Migratorias,CABO VERDE,2021,12,0
Otras Oficinas Migratorias,CAMERUN,2021,12,0
